DATE;PAYS;"CODE 
POSTAL";LOCALITE;"LANGUE 
MATERNELLE";"LANGUE 
VEHICULAIRE";"COMMENT 
NOUS AVEZ-VOUS DECOUVERT?";MIN;KM
12/01/2019;LU;5866;HESPERANGE;RUSSE;ANG;B.A.O;24;26
12/01/2019;BE;6700;ARLON;FR;FR;B.A.O;33;25
12/01/2019;LU;7433;MERSCH;PT;FR;ECOLE;36;43
12/01/2019;LU;4630;DIFFERDANGE;LUX;LUX;VILLE DE DIFFERDANGE;0;0
12/01/2019;LU;4319;ESCH-SUR-ALZETTE ;LUX;LUX;B.A.O. AMIS;15;11
12/01/2019;LU;4220;ESCH-SUR-ALZETTE ;LUX;LUX;GOOGLE;15;11
12/01/2019;LU;7335;ESCHDORF;LUX;LUX;B.A.O. AMIS;56;49
12/01/2019;LU;4482;SOLEUVRE;LUX;LUX;PASSAGE;6;3,4
12/01/2019;LU;3591;DUDELANGE;LUX;LUX;GOOGLE;20;20
12/01/2019;LU;4591;DIFFERDANGE;LUX;LUX;GOOGLE;0;0
12/01/2019;LU;4408;BELVAUX;LUX;LUX;Presse TELEVISION RTL;8;4,5
12/01/2019;LU;4408;BELVAUX;LUX;LUX;B.A.O. AMIS;8;4,5
12/01/2019;LU;5222;SANDWEILER;LUX;LUX;B.A.O;23;33
12/01/2019;BE;6790;AUBANGE;LUX;FR;2ŠME Viste;19;12
12/01/2019;LU;2448;LUXEMBOURG;FR;FR;3 Ôme Visite ;19;22,6
12/01/2019;LU;2448;LUXEMBOURG;ANG;FR;B.A.O. AMIS;19;22,6
13/01/2019;LU;4677;DIFFERDANGE;FR;FR;ECOLE;0;0
13/01/2019;LU;1225;LUXEMBOURG;FR;FR;GOOGLE;19;22,6
13/01/2019;LU;9184;SCHRONDWEILER;HEBREISCH;LUX;GOOGLE;41;60
13/01/2019;LU;5959;ITZIG;LUX;LUX;ECOLE;25;28
13/01/2019;LU;5364;SCHRASSIG;FR;FR;OFFICE DU TOURISME Luxembourg ;27;38
